Trial,Strategy,PF,WR,Sharpe,Score,Params
80,CAPITULATION,2.51,62.55,0.969,12.754,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.02128402750373973, 'b_upper': 0.9205694501040638, 'b_trigger_l': 0.13955325355749026, 'b_trigger_s': 0.9074776074132027, 'vol_mult': 2.898122276725779, 'atr_mult': 2.096699625042665, 'sl_atr': 3.6, 'tp_atr': 4.1, 'max_bars_hold': 32}"
81,CAPITULATION,28.36,78.34,0.467,91.381,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.014288735394235351, 'b_upper': 0.9134145999250419, 'b_trigger_l': 0.12712545633881994, 'b_trigger_s': 0.9243976735145627, 'vol_mult': 2.7918449277547674, 'atr_mult': 2.3457772287005243, 'sl_atr': 2.9, 'tp_atr': 1.9, 'max_bars_hold': 22}"
82,CAPITULATION,28.52,86.01,2.747,94.908,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0047012085535234754, 'b_upper': 0.903865668090764, 'b_trigger_l': 0.15121029884056783, 'b_trigger_s': 0.9358086995371655, 'vol_mult': 2.6915011596332605, 'atr_mult': 2.4927755003789374, 'sl_atr': 2.5, 'tp_atr': 1.3, 'max_bars_hold': 27}"
83,CAPITULATION,7.8,75.31,0.829,29.76,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.011131147964353914, 'b_upper': 0.9097354432514904, 'b_trigger_l': 0.16616626372706467, 'b_trigger_s': 0.9082544451801216, 'vol_mult': 2.789892461160325, 'atr_mult': 2.327757339166484, 'sl_atr': 3.2, 'tp_atr': 4.6, 'max_bars_hold': 18}"
84,CAPITULATION,26.7,73.75,0.676,86.151,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08798617129553804, 'b_upper': 0.9003079993286447, 'b_trigger_l': 0.14442650940013282, 'b_trigger_s': 0.9177249381310781, 'vol_mult': 2.9250130175202993, 'atr_mult': 2.5886028317293883, 'sl_atr': 2.2, 'tp_atr': 5.4, 'max_bars_hold': 30}"
85,CAPITULATION,1.44,57.17,17.14,25.177,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.01601158585688562, 'b_upper': 0.9051326956014626, 'b_trigger_l': 0.11885456305189651, 'b_trigger_s': 0.8962505264532964, 'vol_mult': 1.258135487914149, 'atr_mult': 2.2568952838663248, 'sl_atr': 2.1, 'tp_atr': 2.2, 'max_bars_hold': 37}"
87,CAPITULATION,27.41,82.95,0.872,89.397,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0059328329220196905, 'b_upper': 0.9285946747195725, 'b_trigger_l': 0.13852966313646198, 'b_trigger_s': 0.8567435192276498, 'vol_mult': 2.614192602268645, 'atr_mult': 2.499102228497022, 'sl_atr': 2.5, 'tp_atr': 1.0, 'max_bars_hold': 25}"
88,CAPITULATION,1.4,56.34,9.269,17.103,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.036374263489920705, 'b_upper': 0.91610400495334, 'b_trigger_l': 0.1312674435408742, 'b_trigger_s': 0.9249485076994215, 'vol_mult': 2.502215632247557, 'atr_mult': 2.1874977124274775, 'sl_atr': 1.8, 'tp_atr': 1.6, 'max_bars_hold': 21}"
89,CAPITULATION,1.91,73.33,1.861,12.924,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.010320201801136589, 'b_upper': 0.9096186945991092, 'b_trigger_l': 0.15068819308907808, 'b_trigger_s': 0.8957851368664786, 'vol_mult': 2.1427965363021024, 'atr_mult': 2.4689002693959905, 'sl_atr': 2.1, 'tp_atr': 1.2, 'max_bars_hold': 28}"
90,CAPITULATION,50.96,77.84,0.002,158.666,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.025936460655116313, 'b_upper': 0.9487236979048728, 'b_trigger_l': 0.12686670860289848, 'b_trigger_s': 0.8772144561791063, 'vol_mult': 2.702353736888273, 'atr_mult': 2.546541501549643, 'sl_atr': 2.9, 'tp_atr': 2.8, 'max_bars_hold': 42}"
